,pred,raw
7537,8,8
1351,5,6
30656,5,6
7874,8,8
53334,4,5
51585,8,8
15414,8,8
6471,7,8
53230,7,8
4149,7,7
9474,7,7
57341,8,7
12494,8,8
45210,8,8
10027,5,6
52872,8,8
18163,2,5
7302,5,7
49257,3,2
48861,2,6
44081,8,7
48963,5,6
43550,8,7
47963,7,8
38239,8,8
31286,8,8
20557,8,8
2857,1,2
9298,4,6
34615,8,8
23147,8,8
59274,1,1
19866,8,8
3607,7,6
1606,8,8
49986,7,8
18974,7,7
10756,5,5
9384,8,8
55093,8,8
5858,8,7
41909,7,1
38596,8,7
24042,8,8
3833,4,5
17019,6,6
2252,8,8
51495,7,7
10798,6,6
58578,1,1
57657,6,7
47949,4,5
36609,3,5
470,4,2
58670,1,2
22678,8,8
7565,7,6
1306,5,6
5094,3,2
54846,1,2
13985,6,8
54774,8,8
25748,8,8
57382,8,8
59282,8,8
45954,7,8
40271,6,6
59377,7,7
46131,7,2
14431,3,2
57493,8,8
50810,8,8
26321,2,6
19509,6,6
28020,6,6
50386,3,7
14654,7,1
20536,4,1
12960,5,2
53448,6,6
58736,4,2
12484,6,7
39856,7,6
2383,8,7
56313,7,8
17053,3,5
22118,6,6
15825,8,8
45426,8,6
54698,8,7
2049,5,6
54266,6,7
27615,8,8
5436,4,8
55728,1,5
17538,4,7
47116,2,1
19331,1,1
8315,4,6
15990,7,5
19531,2,5
18692,7,7
29210,8,8
30277,7,6
37547,7,6
53344,5,5
17556,4,6
40446,5,8
36904,8,7
28887,8,8
56742,8,8
51981,6,6
9091,8,2
8603,7,5
49836,3,2
54983,6,7
15554,7,6
10918,1,4
18454,3,4
45009,3,2
8177,8,8
1406,7,8
19771,7,8
50160,7,1
57886,4,5
759,7,7
43211,2,2
39901,3,5
24802,8,8
58705,5,6
41695,4,7
29747,4,5
15336,3,5
49546,3,2
27360,3,1
19735,8,4
46570,5,6
2032,8,8
845,8,8
48040,5,6
56253,4,7
45015,8,8
31853,3,5
40926,5,6
24076,1,1
16342,8,7
9080,5,7
28768,7,8
8792,8,8
11536,1,2
56955,7,2
47568,5,7
44506,1,2
4034,7,6
35414,3,2
41809,8,8
52894,5,2
30623,6,6
20937,3,2
24867,1,5
7972,1,2
58083,5,1
6744,4,2
31986,3,2
28234,7,5
1659,1,1
27456,7,7
43273,5,5
52420,4,2
31333,6,7
43181,4,6
12554,4,6
35089,6,2
38722,3,1
18025,3,2
49959,8,8
8757,7,8
1002,7,8
34414,1,3
42547,6,1
43413,1,6
13890,5,7
24096,7,7
2816,7,7
18075,8,8
5553,5,7
46850,6,7
46181,8,7
2129,7,6
40175,8,8
11563,8,5
25107,5,7
50004,7,8
47885,8,8
49806,7,6
41538,8,8
54605,2,4
2867,8,8
31080,4,5
34448,2,2
45132,8,5
3423,2,2
58997,8,7
59285,8,8
13797,2,5
6502,7,6
54538,8,8
31818,8,7
28011,3,6
17858,3,5
3161,7,7
49529,1,4
51010,8,7
29484,7,7
7322,5,5
43724,2,6
3432,5,5
7432,7,2
18575,5,5
47983,5,2
29932,3,5
43999,6,6
29687,8,8
55852,8,8
41092,6,8
25912,8,8
39691,4,2
31628,8,7
50694,8,8
7682,4,7
35841,8,8
6371,5,8
28299,8,8
39313,7,8
3203,4,4
31435,7,6
40942,7,7
16674,2,5
50236,2,1
56403,8,4
47736,7,8
20388,7,6
46807,6,1
58012,3,5
19001,2,1
43772,5,5
15378,8,8
54371,8,8
44242,1,2
32641,1,4
17872,8,8
6048,5,6
52129,7,8
26194,6,2
38787,6,2
45861,5,1
50251,6,2
25607,1,1
23465,4,6
26307,8,8
46123,8,8
45748,2,5
47378,7,6
53292,8,7
46476,4,5
14107,4,5
58234,8,8
2663,7,6
42856,7,7
1613,6,6
28046,8,7
17439,8,8
11504,2,3
46869,6,6
9421,3,2
36399,8,8
45566,6,6
20139,3,2
34567,3,4
48695,7,7
24559,8,7
51818,5,2
56712,1,1
16922,8,8
36676,6,5
21547,5,5
59172,8,8
10164,7,6
17072,6,6
14601,8,7
47043,5,2
4237,6,8
5938,6,5
48156,7,7
57877,4,2
37334,2,4
25403,5,1
35395,1,1
17146,6,1
1787,4,7
12522,7,6
54468,1,1
6441,2,2
35674,7,7
48365,5,8
15332,8,8
1312,8,8
51614,1,2
48368,8,8
6909,7,8
27852,8,7
26215,1,5
37706,3,1
18627,8,8
58349,1,3
47289,6,8
31748,7,6
43430,6,8
41335,8,8
17222,4,8
48518,8,7
9727,7,1
40292,8,7
52175,1,2
6308,7,7
1212,3,6
1696,6,7
33901,6,1
43131,8,8
16325,8,8
42457,2,5
12981,4,1
2641,6,6
49706,6,7
18429,8,8
23219,6,6
58901,5,6
33828,7,7
271,8,8
26695,8,8
4549,5,1
3707,4,5
24532,7,8
47379,3,6
16361,6,6
4280,8,8
8220,6,1
34731,3,6
56708,5,8
28380,6,6
37850,6,6
918,3,5
59276,5,7
58714,6,6
34105,8,8
1132,8,8
59362,8,7
48961,7,7
28684,6,7
2657,8,8
41388,8,8
46549,7,6
8056,6,1
58528,7,7
7401,8,8
50758,7,6
9048,2,1
11207,8,8
3455,1,2
49307,8,8
37427,5,7
7048,8,8
29643,8,8
13475,7,1
18200,7,8
46254,2,1
14943,4,6
21677,3,2
34776,8,8
30841,7,7
39887,1,3
21459,7,8
33716,6,1
40949,7,8
190,6,8
3442,5,6
44109,7,6
6663,8,7
22464,1,6
54977,6,7
59353,7,6
18635,8,7
15021,7,1
12119,8,8
13083,6,6
13873,8,8
54610,5,6
32244,3,1
3537,7,7
15842,8,8
18555,6,8
16820,6,6
789,8,8
5096,3,1
7617,7,6
19308,6,7
15145,1,5
45424,7,8
48110,1,1
1279,8,8
37439,4,8
32577,3,2
46109,6,8
41544,1,2
46739,7,1
45415,8,5
12455,8,8
33422,8,8
58159,4,6
9827,2,2
5794,7,7
27040,7,8
18926,2,1
2040,3,5
51669,4,8
14010,4,5
24880,8,8
21102,8,8
56773,8,1
34819,8,7
55997,5,6
9092,7,8
6805,3,7
28679,7,6
32393,8,8
16711,8,8
56926,1,6
28643,3,4
44964,8,8
46735,3,2
5966,7,2
16232,2,1
35340,8,8
22497,7,8
53535,5,1
47261,6,6
16649,8,8
8951,3,5
53882,4,6
51479,5,5
21418,5,2
49696,8,8
26840,6,7
57466,6,8
38358,3,4
56324,8,8
7242,6,7
15796,6,8
43145,3,2
6588,6,7
37653,8,8
13110,8,8
49492,7,8
2534,3,2
36543,7,1
36985,4,1
27999,3,2
51667,5,7
23908,5,2
42920,1,5
34708,6,6
28756,7,6
10393,7,2
55146,4,7
2006,8,8
17602,7,8
40775,3,4
27905,7,6
8268,4,1
10146,7,2
32939,8,8
50677,8,8
20894,2,1
17426,4,7
59302,7,8
10339,2,2
4833,5,6
41815,6,6
53091,8,8
56447,5,6
36325,8,8
35663,4,8
17607,4,7
1846,8,8
16951,5,5
44494,5,7
30413,5,5
7088,3,2
24129,4,6
22294,1,4
44798,6,6
47095,6,7
5163,6,7
28360,4,5
38432,6,6
56985,6,7
20580,1,1
13047,7,7
36772,6,6
10924,6,7
20485,4,5
35309,5,2
43489,1,1
29319,4,6
48100,8,8
6929,8,7
11448,7,3
24491,8,8
55277,8,8
699,1,3
46187,4,6
48908,6,7
46836,1,2
39296,3,1
36160,3,7
6006,6,6
22673,7,7
11538,2,2
42837,8,7
44540,7,8
37695,1,1
35321,8,8
25157,5,5
35217,8,8
20160,8,6
12350,7,8
4336,8,8
42335,1,2
45694,6,1
44866,4,6
29322,7,6
17250,3,6
10309,8,7
41077,4,6
31616,8,8
15732,8,8
34258,1,2
3372,8,8
43899,1,2
45883,7,8
53820,7,8
52460,1,6
24507,2,1
30938,7,6
13054,8,8
42362,1,3
33640,7,7
44814,6,6
43056,2,4
46631,8,2
7309,7,8
51680,8,8
5033,4,5
6952,1,6
26970,1,2
18916,6,7
24005,5,6
35642,7,8
30153,7,7
1687,4,6
49469,7,2
48526,8,7
14914,1,1
11812,8,8
45712,6,7
11114,2,2
12319,6,8
17707,6,6
40056,3,6
39019,8,7
18822,8,8
45539,7,6
58250,5,5
11222,1,5
38675,8,8
27637,5,7
43431,3,4
3064,1,2
910,1,5
38465,6,8
15966,3,1
28324,5,2
56259,7,8
14235,7,2
33634,6,6
24442,6,2
56295,5,2
2606,5,6
27949,4,2
9399,4,2
49684,7,8
46226,3,5
18684,2,2
20504,7,8
29559,1,1
24808,8,8
18081,2,6
8221,8,8
28738,8,8
55925,6,6
55703,4,1
50763,1,2
27072,2,2
31180,8,8
11328,7,2
33883,8,8
38265,6,6
14369,4,5
33553,8,2
57609,8,7
54420,4,6
35780,2,5
22555,5,7
19245,1,3
10487,8,8
52467,8,8
56880,5,7
37199,4,8
6456,4,7
34028,8,8
57081,4,7
26357,7,6
456,8,8
48461,3,1
29787,8,8
20926,3,2
5007,8,8
25404,8,8
13540,8,8
5621,7,6
39621,8,8
32497,7,6
51158,8,8
38300,8,8
3745,3,1
26585,3,4
29883,8,8
8230,3,6
43887,7,8
10674,6,2
830,7,7
36113,7,7
8085,2,3
58447,6,6
14800,8,8
2497,3,4
1295,4,5
49185,8,7
4910,3,1
35393,7,8
23324,5,7
31477,7,8
41170,6,6
58354,6,7
43604,1,6
27032,6,6
8513,5,2
50639,1,1
22719,5,6
1599,4,5
14982,7,7
46909,2,4
45684,7,8
20701,8,8
53894,8,8
31914,2,2
37574,2,2
47417,7,7
52949,8,7
47503,7,7
27956,6,7
47953,3,5
20239,6,6
50712,1,1
41757,5,6
18230,2,8
10667,2,2
513,1,3
14354,7,8
29630,1,5
8600,8,6
57032,1,5
30709,2,2
50240,3,4
52060,1,2
51812,7,7
44096,7,6
51199,8,8
12653,6,8
16980,1,1
42376,8,8
24752,8,8
42990,8,7
15391,8,8
47535,6,6
17537,3,2
35682,7,7
32694,1,1
23562,5,7
5709,7,8
2213,8,8
32746,4,4
21698,7,7
36867,8,4
15478,4,7
24145,5,6
58272,6,8
25043,8,7
19581,1,3
32844,8,7
37731,8,8
23138,8,8
10779,6,6
11978,8,8
20376,6,6
52653,7,8
12947,6,6
52338,4,6
53672,8,8
5113,5,2
2737,3,2
6464,5,7
12804,8,6
43486,6,6
50856,1,1
58685,5,6
47744,7,7
39988,8,8
16249,8,8
30330,8,8
49927,8,8
54411,7,6
23179,8,7
11068,8,8
27714,5,6
53146,8,7
1650,7,7
44220,7,6
3485,7,8
49381,6,6
10459,8,8
14547,1,1
48869,5,1
37198,6,6
34688,6,2
10775,8,8
11415,6,8
4927,2,2
33120,4,6
9638,8,8
1190,6,6
31650,8,8
31577,1,2
1225,7,8
56410,5,7
24080,7,6
55185,6,6
25522,3,2
27919,7,8
18612,1,3
36917,8,8
16792,8,8
9017,8,8
27048,6,5
26198,6,6
41779,8,8
12292,8,8
8006,8,7
38592,5,6
18672,1,1
930,8,8
9894,6,7
34385,1,1
9370,3,2
40228,4,5
13917,5,6
4681,5,2
45737,7,7
29486,6,6
411,3,1
29927,5,6
47933,6,6
5910,6,6
37423,1,4
46314,8,8
55922,1,2
56370,5,6
15969,6,7
21667,4,7
23364,7,7
47720,8,8
7006,4,7
27022,4,6
9069,6,1
20055,5,7
27060,8,7
47219,6,6
10101,7,8
6965,3,2
57371,7,8
49938,2,1
29631,8,8
30967,6,5
56373,4,4
50730,6,7
48547,7,5
6703,4,6
45718,6,7
58437,8,8
42337,8,7
6655,3,1
9095,2,3
31247,6,6
41595,8,8
16943,1,4
56856,6,6
24326,8,8
48779,4,1
50571,3,2
17629,5,2
36745,8,8
19891,7,6
6826,5,5
5517,4,6
55219,5,2
38355,7,7
12814,8,2
4626,5,6
8122,4,1
35416,2,5
11082,5,5
56845,8,8
31721,4,5
33065,2,6
27412,8,8
19467,6,7
18113,5,7
51541,4,2
25753,4,5
1220,8,8
43500,2,6
47209,6,7
11660,6,1
20909,8,8
18418,1,2
14850,2,4
6297,7,7
22215,6,8
38136,6,6
15521,5,7
33046,7,7
12044,8,8
21013,8,8
52056,6,7
34958,4,5
18309,2,2
26582,8,8
19379,5,2
8838,2,1
34927,1,1
56296,7,1
26584,4,5
45377,3,1
13072,8,8
33602,5,6
33425,8,8
46751,6,6
25553,4,5
22570,5,3
48267,7,7
14564,1,5
31008,8,8
26391,7,7
49576,8,6
41922,1,1
38234,5,6
52253,8,6
48238,5,6
59008,8,8
31116,8,8
18042,8,8
32395,8,8
20009,7,1
30765,1,1
48755,4,2
24589,8,6
21643,3,4
54715,5,7
25143,1,3
27517,5,7
25697,8,6
8231,1,2
36976,5,1
22522,8,8
48545,2,1
28094,4,5
11888,5,7
9135,3,2
1888,4,1
16582,4,2
14390,7,8
49668,5,1
31476,5,6
34327,5,8
19731,6,7
17147,7,6
55917,1,1
32617,8,7
37939,1,2
24448,5,7
29313,6,8
954,6,6
5422,6,1
22940,4,8
7529,1,2
31410,1,3
25666,4,8
38826,8,6
10391,6,6
57013,6,7
503,2,2
58817,6,6
57182,8,8
27987,7,7
21495,8,7
58331,8,8
57413,7,7
31791,8,7
57545,2,3
44568,6,8
31282,8,8
22737,8,8
58103,8,8
30442,5,1
28580,4,6
50183,1,1
9797,5,6
49082,6,6
19145,8,2
48481,4,5
11686,6,7
50278,3,6
25421,6,6
16578,7,7
6189,6,7
43458,8,8
36799,7,8
30676,7,1
53827,6,6
45061,5,1
50722,6,6
59141,6,2
51914,8,7
4106,7,6
22031,8,8
54709,8,8
49061,4,1
29936,5,7
2051,5,5
544,6,1
54579,6,1
5539,8,8
54656,5,2
50243,8,8
48819,8,8
14061,8,8
58531,7,1
3283,8,8
37326,1,2
24869,6,6
20455,4,7
37303,6,6
40912,5,6
2724,8,8
16434,7,8
44678,7,7
24886,5,7
49954,2,5
16781,7,8
5769,4,6
22521,8,8
8479,5,2
55939,7,8
31710,4,6
49244,5,7
4612,7,6
752,7,8
55425,6,6
28240,1,1
57587,8,7
1101,5,7
15710,6,5
53789,7,7
44811,7,6
24034,7,8
7470,7,8
25320,5,5
9844,4,5
53407,7,1
49759,5,6
24406,5,7
45101,2,1
16327,8,8
57675,8,8
32235,8,8
7786,7,8
26027,3,3
39125,8,8
7887,4,5
34322,8,6
50399,3,1
58075,8,8
57644,4,2
55116,7,8
54014,8,4
9341,6,8
1569,7,7
30361,5,5
7028,6,2
33265,6,2
8572,1,1
507,3,1
25987,6,6
37965,1,1
2980,4,1
12758,7,6
9389,8,8
48776,8,8
14576,8,1
13176,5,6
40370,8,8
5920,8,8
25751,7,7
14214,8,8
5951,7,6
50174,8,7
51135,8,8
15120,7,8
5111,7,7
55952,6,6
6944,6,7
7777,1,1
4439,8,8
22423,2,1
583,5,7
47555,7,7
4138,1,2
36413,5,2
51886,8,8
22020,7,7
40103,2,3
20087,4,5
25052,7,7
51082,6,8
8359,3,8
48894,7,1
41849,8,8
50816,1,2
25204,2,6
24376,5,6
2080,8,8
4123,8,2
52554,8,8
57993,1,3
4640,5,2
52100,8,8
40384,1,2
58561,7,8
2897,3,3
41469,1,6
30045,4,2
2322,1,3
1400,5,5
4872,2,2
32639,8,8
41042,7,8
4794,4,6
7810,6,8
35546,8,8
35091,5,8
26850,5,5
10191,8,8
32334,4,7
40895,1,1
24989,8,6
12673,5,6
5178,6,2
57798,7,6
26033,7,6
7827,3,1
35680,2,2
21320,5,5
33124,7,8
49985,8,8
35655,5,1
56602,8,8
56475,6,8
39148,5,7
26996,8,8
26731,5,6
50246,5,6
22391,8,8
24597,5,5
5717,4,2
41037,5,7
35972,8,8
10664,1,1
50037,5,6
44919,8,8
9234,8,8
14001,8,8
30346,6,5
3294,5,7
37837,6,6
58106,5,5
33503,8,6
10261,5,8
41029,8,8
14407,1,2
47643,3,6
16598,4,7
9414,2,5
25470,6,6
24063,7,8
21131,8,2
21167,8,6
58190,8,8
56686,8,8
27054,5,6
41347,6,8
53615,3,2
38967,6,5
33474,6,2
37371,8,8
32447,8,7
55418,7,7
40761,7,7
23840,8,8
23234,8,8
23888,7,7
51855,1,1
8839,8,8
24712,2,1
12559,3,2
10457,4,1
55313,3,1
8313,8,8
28889,3,6
15515,6,6
57213,1,1
57034,8,4
8598,5,8
55405,6,7
21640,6,6
40099,7,8
13680,8,1
2324,5,1
54633,5,1
23053,4,6
53016,3,5
44552,7,6
13004,1,3
26562,5,2
43146,6,1
1884,8,8
26290,8,8
40676,8,8
23507,5,7
49234,8,8
48439,5,1
46627,6,6
31592,8,7
51890,8,7
15827,5,6
23188,5,6
39438,7,6
21983,8,8
42937,6,7
39620,5,6
21527,3,1
2995,5,1
14053,8,8
23484,8,8
713,8,6
16991,2,2
52536,6,6
53776,7,7
56085,7,6
2753,5,8
13096,4,2
40497,7,5
12776,8,8
30261,7,8
25024,8,8
7301,7,7
43692,5,5
19516,8,7
37518,1,2
56336,6,8
33616,5,8
39652,6,6
48836,5,6
47495,1,1
41953,2,5
54734,7,8
25743,6,6
20235,5,2
4898,6,6
58732,8,6
9738,1,1
39166,8,8
39363,2,1
57990,6,2
38581,4,5
40706,6,6
24516,2,5
45615,8,7
4907,3,8
17640,1,2
17349,1,5
29228,6,6
11654,6,7
33598,8,8
44505,5,7
5573,8,8
13371,1,1
51453,8,8
16623,5,6
18415,8,8
4108,7,8
24315,8,8
26106,4,1
43194,7,6
37462,8,7
47638,7,7
20646,7,8
54786,6,2
24061,8,7
7660,8,8
10130,5,6
17977,7,6
21650,6,6
52656,8,8
22419,8,8
25436,5,8
4662,4,5
39006,7,7
34994,8,8
52444,1,6
36351,1,1
2207,1,1
41257,8,8
11006,1,2
6819,6,8
2201,8,8
9137,7,2
5750,8,6
21457,7,2
12052,1,1
40214,6,8
21992,8,8
17428,2,4
18908,6,7
32396,4,7
52625,8,8
32916,7,6
26388,7,7
48376,5,7
27466,7,8
33854,2,3
6503,6,6
32311,5,7
12649,2,2
17467,7,2
21522,6,8
24357,3,8
26328,7,6
23625,1,1
13582,5,6
14622,3,6
4102,8,8
28796,5,5
31901,8,8
53018,1,1
27262,6,6
27835,6,7
37733,6,7
41490,1,1
21957,3,2
53130,1,2
10020,6,6
35361,5,6
26859,6,2
13380,4,1
37931,8,8
9005,1,4
13073,6,6
19932,7,5
46277,1,2
19463,8,8
5766,5,6
27470,3,6
48293,1,3
7582,7,8
30768,7,8
6793,2,4
52974,7,6
47412,1,3
48696,7,7
26385,8,8
983,7,8
40216,5,6
25232,4,6
26157,7,6
23730,3,6
11557,3,1
52035,8,8
757,6,6
22459,8,8
27131,8,7
17930,8,8
47846,7,2
17132,8,8
48589,8,8
42932,5,6
2343,6,5
22611,8,8
29839,7,1
15382,7,7
50725,5,6
20774,3,5
20241,8,8
47640,4,6
26588,8,8
5321,8,8
25309,8,8
11550,5,7
54885,8,8
27646,7,8
10762,7,6
43183,5,6
3048,8,8
38900,6,1
37767,8,1
7737,7,6
4500,2,2
49603,8,7
17950,7,7
8405,3,6
27876,5,7
10739,8,8
54125,8,7
36791,5,6
57231,6,2
18691,7,5
29593,5,6
13447,7,8
22875,6,7
59001,8,8
26073,4,5
11626,1,1
302,8,8
29342,6,6
30074,8,8
49005,7,8
45853,3,2
31860,8,8
2233,8,8
5877,6,6
50818,6,6
49205,4,6
44607,2,4
43463,6,6
44587,2,3
40728,6,7
15659,4,5
1405,4,5
58822,8,8
38998,4,5
26593,6,2
58734,1,2
3311,5,1
8051,5,4
17807,6,2
38230,8,8
42931,7,8
13378,6,6
43403,5,6
19387,2,1
18980,6,7
6802,2,4
32879,8,8
42306,8,8
45724,5,8
22536,8,8
45690,4,2
47534,8,8
29903,6,8
44395,8,8
29134,3,5
14855,6,7
985,7,7
23860,6,6
43900,3,1
49473,1,5
45359,5,6
16861,6,6
52857,6,6
42783,8,8
24723,7,8
40504,4,6
40750,6,8
38813,8,8
6809,6,7
9621,8,8
19479,3,4
22409,7,6
11664,3,5
18361,6,8
30089,1,1
43276,7,1
54572,2,1
16744,8,8
43028,7,8
13316,4,2
6425,3,7
38046,8,2
54483,5,6
46813,2,4
55001,6,7
44953,7,6
51338,5,2
50290,2,2
40558,6,7
11898,8,8
15799,6,6
40084,6,8
11526,5,5
39451,1,6
1809,7,6
58701,8,8
9105,7,5
19813,1,1
22011,5,1
31814,4,6
21748,8,8
36663,2,1
36355,7,8
48014,3,5
5872,8,8
38733,5,8
39195,8,6
46141,3,2
17411,7,6
41306,3,5
53826,3,6
1963,1,2
19953,8,8
31719,8,8
49215,8,8
45789,8,8
23043,1,1
14870,5,5
45976,8,8
36279,8,8
10951,3,1
53741,8,8
3314,7,7
12845,8,8
41242,1,2
21241,8,8
51004,5,1
55628,1,1
15566,8,8
1959,4,6
53885,6,7
8719,6,7
1594,6,7
16530,3,2
54559,7,6
34525,4,2
37122,8,8
58413,7,2
53730,8,8
48321,5,7
12816,4,5
618,6,7
45037,3,5
4493,5,6
2132,7,6
42356,5,8
2260,1,2
52389,8,7
51988,8,8
40188,8,8
11874,7,6
441,7,7
3260,8,4
18125,6,6
26973,2,5
7864,4,2
20008,8,8
37256,6,6
54815,5,7
30878,5,7
31665,1,1
33010,2,1
58179,7,8
53650,5,6
16517,4,6
45364,8,8
38701,8,8
72,5,5
58368,5,2
3344,5,1
18533,7,6
20007,3,1
3913,7,7
18723,8,8
24154,7,8
32425,4,5
40306,8,8
49533,6,5
13118,8,8
58334,3,2
9315,6,7
2698,8,8
12755,1,1
44263,4,2
21073,5,6
32067,8,8
59162,3,5
794,8,8
36595,5,7
5039,1,2
13206,3,6
8886,6,6
675,3,5
31955,1,3
50451,7,7
